"Country"	"Date"	"Fuel"	"Price"	"Reg"
"Belgium"	2005-06-01	"Super"	1231.835	49041
"Belgium"	2005-07-01	"Super"	1278.3925	32347
"Belgium"	2005-07-01	"Diesel"	1048.3875	32347
"Belgium"	2005-08-01	"Diesel"	1042.1	33109
"Belgium"	2005-08-01	"Super"	1286.12	33109
"Belgium"	2005-09-01	"Super"	1360.715	35382
"Belgium"	2005-09-01	"Diesel"	1079.55	35382
"Belgium"	2005-10-01	"Diesel"	1102.735	36720
"Belgium"	2005-10-01	"Super"	1336.0175	36720
"Belgium"	2005-11-01	"Diesel"	1019.5	35399
"Belgium"	2005-11-01	"Super"	1248.2425	35399
"Belgium"	2005-12-01	"Super"	1235.29	20734
"Belgium"	2005-12-01	"Diesel"	992.166666666667	20734
"Belgium"	2006-01-01	"Super"	1290.0825	58128
"Belgium"	2006-01-01	"Diesel"	1024.015	58128
"Belgium"	2006-02-01	"Super"	1253	54554
"Belgium"	2006-02-01	"Diesel"	1008.165	54554
"Belgium"	2006-03-01	"Super"	1244.525	64963
"Belgium"	2006-03-01	"Diesel"	1008.3925	64963
"Belgium"	2006-04-01	"Super"	1332.33666666667	51147
"Belgium"	2006-04-01	"Diesel"	1058.43333333333	51147
"Belgium"	2006-05-01	"Super"	1339.982	50701
"Belgium"	2006-05-01	"Diesel"	1052.326	50701
"Belgium"	2006-06-01	"Super"	1352.71	46118
"Belgium"	2006-06-01	"Diesel"	1046.4875	46118
"Belgium"	2006-07-01	"Diesel"	1061.14	35359
"Belgium"	2006-07-01	"Super"	1406.754	35359
"Belgium"	2006-08-01	"Super"	1367.7225	33018
"Belgium"	2006-08-01	"Diesel"	1042.5025	33018
"Belgium"	2006-09-01	"Super"	1278.0575	34989
"Belgium"	2006-09-01	"Diesel"	1015.0175	34989
"Belgium"	2006-10-01	"Super"	1203.052	41492
"Belgium"	2006-10-01	"Diesel"	984.34	41492
"Belgium"	2006-11-01	"Diesel"	973.8825	34686
"Belgium"	2006-11-01	"Super"	1186.9575	34686
"Belgium"	2006-12-01	"Diesel"	977.583333333333	20986
"Belgium"	2006-12-01	"Super"	1236.68	20986
"Belgium"	2007-01-01	"Super"	1197.445	55832
"Belgium"	2007-01-01	"Diesel"	926.8025	55832
"Belgium"	2007-02-01	"Diesel"	941.19	48856
"Belgium"	2007-02-01	"Super"	1198.1175	48856
"Belgium"	2007-03-01	"Diesel"	971.85	59170
"Belgium"	2007-03-01	"Super"	1261.1425	59170
"Belgium"	2007-04-01	"Super"	1307.0675	47713
"Belgium"	2007-04-01	"Diesel"	994.605	47713
"Belgium"	2007-05-01	"Super"	1325.465	46961
"Belgium"	2007-05-01	"Diesel"	996.6125	46961
"Belgium"	2007-06-01	"Super"	1336.77	49977
"Belgium"	2007-06-01	"Diesel"	1008.5975	49977
"Belgium"	2007-07-01	"Diesel"	1030.66	39597
"Belgium"	2007-07-01	"Super"	1348.174	39597
"Belgium"	2007-08-01	"Diesel"	1027.3525	33882
"Belgium"	2007-08-01	"Super"	1320.3075	33882
"Belgium"	2007-09-01	"Super"	1341.3	36611
"Belgium"	2007-09-01	"Diesel"	1054.115	36611
"Belgium"	2007-10-01	"Diesel"	1088.972	46150
"Belgium"	2007-10-01	"Super"	1370.654	46150
"Belgium"	2007-11-01	"Diesel"	1172.975	36351
"Belgium"	2007-11-01	"Super"	1427.2	36351
"Belgium"	2007-12-01	"Diesel"	1128.68	23695
"Belgium"	2007-12-01	"Super"	1405.61333333333	23695
"Belgium"	2008-01-01	"Diesel"	1092.235	56846
"Belgium"	2008-01-01	"Super"	1404.4325	56846
"Belgium"	2008-02-01	"Diesel"	1116.1275	55941
"Belgium"	2008-02-01	"Super"	1413.775	55941
"Belgium"	2008-03-01	"Diesel"	1185.34	57077
"Belgium"	2008-03-01	"Super"	1426.94	57077
"Belgium"	2008-04-01	"Super"	1435.0825	61703
"Belgium"	2008-04-01	"Diesel"	1212.7225	61703
"Belgium"	2008-05-01	"Super"	1497.205	48441
"Belgium"	2008-05-01	"Diesel"	1306.455	48441
"Belgium"	2008-06-01	"Diesel"	1373.2	50689
"Belgium"	2008-06-01	"Super"	1543.74	50689
"Belgium"	2008-07-01	"Diesel"	1382.72	39242
"Belgium"	2008-07-01	"Super"	1555.335	39242
"Belgium"	2008-08-01	"Super"	1478.6425	32954
"Belgium"	2008-08-01	"Diesel"	1273.9075	32954
"Belgium"	2008-09-01	"Super"	1448.892	37838
"Belgium"	2008-09-01	"Diesel"	1218.734	37838
"Belgium"	2008-10-01	"Diesel"	1168.5	42998
